Name,Objective Value,Time,Gap
11berlin52_T40_p1.sop,7570,1.641,0
11eil51_T40_p1.sop,357,3.641,0
14st70_T40_p1.sop,630,60.032,0.068253968
16eil76_T40_p1.sop,435,33.828,0
16pr76_T40_p1.sop,111158,60.047,0.055270406
20kroA100_T40_p1.sop,25764,60.093,0.208623
20kroB100_T40_p1.sop,18587,60.172,0.065368268
20kroC100_T40_p1.sop,26807,60.093,0.210119581
20kroD100_T40_p1.sop,27340,60.094,0.257792704
20kroE100_T40_p1.sop,21100,60.078,0.335505529
20rat99_T40_p1.sop,971,60.14,0.410167169
20rd100_T40_p1.sop,629,60.14,0.173775714
21eil101_T40_p1.sop,700,60.109,0.135673469
21lin105_T40_p1.sop,23294,60.14,0.412166223
22pr107_T40_p1.sop,97544,60.141,0.725027936
25pr124_T40_p1.sop,89438,60.11,0.43496288
26bier127_T40_p1.sop,1000000000,60.14,
26ch130_T40_p1.sop,8353,60.219,0.332287244
28pr136_T40_p1.sop,171418,60.063,0.479416708
29pr144_T40_p1.sop,82945,60.063,0.594143911
30ch150_T40_p1.sop,7935,60.219,0.206079598
30kroA150_T40_p1.sop,1000000000,60.171,
30kroB150_T40_p1.sop,47425,60.062,0.560757218
31pr152_T40_p1.sop,140051,60.094,0.663274468
32u159_T40_p1.sop,992,60.047,0.338205645
39rat195_T40_p1.sop,1000000000,60.11,
40d198_T40_p1.sop,1101,60.031,0.431982692
40kroa200_T40_p1.sop,46930,60.328,0.522134163
40krob200_T40_p1.sop,1000000000,60.391,
